FID,X,Y,Call_Taken,Location,Day
1215,-10381235.484717,5622357.970685,2016-02-04T00:00:00.000Z,1703 Adams St NE,Day 3
1216,-10376962.346921,5619140.608935,2016-02-04T00:00:00.000Z,839 25th ave se,Day 3
1217,-10380523.700205,5620784.473631,2016-02-04T00:00:00.000Z,611 Jackson St NE,Day 3
1218,-10385785.774116,5626947.121652,2016-02-04T00:00:00.000Z,4353 Girard ave n,Day 3
1219,-10388748.387295,5612864.435219,2016-02-04T00:00:00.000Z,3519 32nd Street West,Day 3
1220,-10384261.99052,5616056.76637,2016-02-04T00:00:00.000Z,229 clifton ave,Day 3
1221,-10380264.008829,5619037.087791,2016-02-04T00:00:00.000Z,325 6TH AVE SE,Day 3
1222,-10386607.073004,5622899.126672,2016-02-04T00:00:00.000Z,2805 Morgan ave n,Day 3
1223,-10377384.110831,5619439.018093,2016-02-04T00:00:00.000Z,903 22ND AVE SE,Day 3
1224,-10378264.996487,5620041.469723,2016-02-04T00:00:00.000Z,1091 16TH AVE SE,Day 3
1225,-10380950.267211,5612253.151027,2016-02-04T00:00:00.000Z,3413 15th ave so,Day 3
1226,-10380101.371585,5614370.684018,2016-02-04T00:00:00.000Z,2655 Longfellow Avenue South,Day 3
1227,-10386610.039729,5620783.759871,2016-02-04T00:00:00.000Z,1607 Morgan Ave.,Day 3
1228,-10385763.968306,5623688.858952,2016-02-04T00:00:00.000Z,3233 Girard Ave n,Day 3
1229,-10384018.52617,5614959.958081,2016-02-04T00:00:00.000Z,2445 pillsbury,Day 3
1230,0,0,2016-02-04T00:00:00.000Z,2423 illon Ave n,Day 3
1231,-10381795.566553,5612217.214965,2016-02-04T00:00:00.000Z,3427 elliot,Day 3
1232,-10379766.667453,5619560.764999,2016-02-04T00:00:00.000Z,721 7th Ave se,Day 3
1233,-10378469.231834,5615360.611575,2016-02-04T00:00:00.000Z,2209 28th Ave S,Day 3
1234,0,0,2016-02-04T00:00:00.000Z,2123 guard ave s,Day 3
1235,-10385064.010053,5624845.140313,2016-02-04T00:00:00.000Z,3643 Bryant ave n,Day 3
1236,-10382648.991012,5614183.165134,2016-02-04T00:00:00.000Z,2719 5TH AVE S,Day 3
